8462	CartoonNetwork	web visit
4267	ABC	NBC TNT
28659	NBC TBS	ComedyCentral ABC USANetwork
14224	ABC TNT	Nickelodeon SpikeTV visit
22012	NBC ABC	AMC TLC
12645	History	CBS ABC
8625	web	web
51693	CBS Discovery SpikeTV	FXX History NBC NationalGeographic
19864	NBC ABC	SpikeTV CBS visit
73711	CW	NBC ABC
5543	NationalGeographic	NBC ABC
42138	ABC	ABC
42029	ComedyCentral CartoonNetwork ABC CBS	FOX A&E TNT NBC
70663	CBS ABC	NBC FX
57871	FOX NBC CBS ABC	History AnimalPlanet E! visit
73850	ABC CW	NBC FOX
33783	ABC TLC	NBC FOX BET
70040	visit	visit
37006	ABC NBC	TNT visit
29553	ESPN	visit
37485	ComedyCentral CartoonNetwork	ABC FOX FX
30686	truTV	visit
77520	NBC FOX	CBS ABC
38544	Telemundo(National) Galavision	ESPN ESPNDeportes
68863	CBS	CBS
75086	NBC ABC FXX	ESPN TNT visit
38763	NationalGeographic Discovery NBC	SpikeTV CBS History USANetwork
20725	VH1	ESPN
11326	FOX NBC ComedyCentral	SpikeTV FXX TLC visit
6062	Discovery	NBC AnimalPlanet
9512	CBS	web visit
58832	CBS NBC	ABC AnimalPlanet FOX
15551	visit	visit
50884	SpikeTV	CW web
28866	CBS	NBC
11573	visit	visit
27013	visit	visit
56397	web	web
49036	VH1 A&E TLC CW	CartoonNetwork ABC MTV2 truTV NBC
14576	visit	visit
23156	web	visit
37019	CBS TNT Discovery TLC	FX A&E AnimalPlanet MTV
40918	FX CBS	ABC FoxSports1 AMC
26806	ABC	ABC
7418	ABC Discovery NBC	FOX ComedyCentral SpikeTV CartoonNetwork
84149	visit	visit
38123	web	web
4494	NBC	CBS visit
25418	CW	NBC
10153	CBS	FX
12095	visit	visit
3605	ABC NationalGeographic Bravo NBC	Nickelodeon A&E CBS FOX E!
25740	FOX TNT NBC	ABC CBS A&E visit
10732	visit	visit
9291	CBS TNT	NBC ABC
1404	visit	visit
56479	SpikeTV	ABC
25406	CBS VH1 ESPN Nickelodeon	MTV2 BET TNT Bravo
82401	ESPN ComedyCentral CBS	TNT truTV ABC
74516	NBC	FOX
13962	ABC	web NBC
21413	ABC AnimalPlanet AMC Freeform	CartoonNetwork USANetwork Discovery TLC NationalGeographic
29725	Discovery A&E ComedyCentral	History TNT CBS
2697	SpikeTV	SpikeTV
37290	FX AMC NBC	TBS USANetwork TNT
16842	CartoonNetwork FXX FOX NBC	ABC CBS TNT SpikeTV AMC
37371	VH1 TBS Bravo FOX BET ABC	FX CBS A&E SpikeTV TLC NBC
9810	NBC Discovery	ABC FOX visit
